provider_id,provider_name,provider_type,state,network_status
5001,Medical Center 1,Specialist,TX,In-Network
5002,Medical Center 2,Hospital,CA,In-Network
5003,Medical Center 3,Specialist,TX,In-Network
5004,Medical Center 4,Specialist,PA,In-Network
5005,Medical Center 5,Hospital,TX,Out-of-Network
5006,Medical Center 6,Hospital,FL,In-Network
5007,Medical Center 7,Specialist,FL,In-Network
5008,Medical Center 8,Clinic,FL,In-Network
5009,Medical Center 9,Specialist,FL,In-Network
5010,Medical Center 10,Specialist,PA,In-Network
5011,Medical Center 11,Specialist,NY,In-Network
5012,Medical Center 12,Specialist,CA,In-Network
5013,Medical Center 13,Hospital,FL,Out-of-Network
5014,Medical Center 14,Specialist,TX,In-Network
5015,Medical Center 15,Clinic,FL,In-Network
5016,Medical Center 16,Hospital,TX,In-Network
5017,Medical Center 17,Clinic,TX,In-Network
5018,Medical Center 18,Clinic,FL,In-Network
5019,Medical Center 19,Clinic,PA,In-Network
5020,Medical Center 20,Clinic,TX,In-Network
5021,Medical Center 21,Hospital,TX,In-Network
5022,Medical Center 22,Hospital,FL,In-Network
5023,Medical Center 23,Clinic,TX,In-Network
5024,Medical Center 24,Clinic,TX,In-Network
5025,Medical Center 25,Hospital,FL,In-Network
5026,Medical Center 26,Hospital,FL,In-Network
5027,Medical Center 27,Hospital,CA,In-Network
5028,Medical Center 28,Specialist,PA,In-Network
5029,Medical Center 29,Specialist,PA,Out-of-Network
5030,Medical Center 30,Specialist,TX,In-Network
5031,Medical Center 31,Clinic,PA,In-Network
5032,Medical Center 32,Specialist,TX,In-Network
5033,Medical Center 33,Clinic,CA,In-Network
5034,Medical Center 34,Clinic,FL,In-Network
5035,Medical Center 35,Specialist,FL,In-Network
5036,Medical Center 36,Clinic,FL,In-Network
5037,Medical Center 37,Specialist,PA,Out-of-Network
5038,Medical Center 38,Specialist,CA,Out-of-Network
5039,Medical Center 39,Hospital,PA,In-Network
5040,Medical Center 40,Specialist,PA,Out-of-Network
5041,Medical Center 41,Hospital,CA,Out-of-Network
5042,Medical Center 42,Specialist,CA,In-Network
5043,Medical Center 43,Specialist,CA,Out-of-Network
5044,Medical Center 44,Hospital,CA,In-Network
5045,Medical Center 45,Hospital,FL,Out-of-Network
5046,Medical Center 46,Specialist,NY,Out-of-Network
5047,Medical Center 47,Clinic,NY,In-Network
5048,Medical Center 48,Hospital,CA,In-Network
5049,Medical Center 49,Clinic,NY,In-Network
5050,Medical Center 50,Clinic,NY,In-Network
